Date,Price,Open,High,Low,Vol.,Change %
03/10/2020,79.8,80.1,80.25,78.85,1.46K,+0.73%
03/09/2020,79.22,79.65,81.24,78.33,6.45K,-1.89%
03/06/2020,80.75,81.52,81.52,80.43,15.34K,-0.52%
03/05/2020,81.17,81.16,81.38,81.06,8.44K,-0.79%
03/04/2020,81.82,82.25,82.34,81.63,2.23K,+0.02%
03/03/2020,81.8,81.31,81.78,81.16,2.82K,+0.54%
03/02/2020,81.36,81.39,81.57,81.1,3.60K,+0.86%
02/28/2020,80.67,80.11,80.83,79.89,0.47K,+0.70%
02/27/2020,80.11,80.03,80.34,80.01,1.00K,+0.29%
02/26/2020,79.88,79.36,79.86,79.36,1.95K,+0.41%
02/25/2020,79.55,79.83,79.87,79.64,0.69K,-0.57%
02/24/2020,80.01,80.14,80.15,79.92,0.44K,+0.35%
02/21/2020,79.73,80.0,80.0,79.76,1.28K,-0.26%
02/20/2020,79.94,79.91,80.09,79.67,0.34K,+0.65%
02/19/2020,79.42,79.35,79.54,79.28,0.06K,+0.46%
02/18/2020,79.06,79.15,79.15,78.88,0.29K,-0.04%
02/17/2020,79.09,79.04,79.18,78.62,2.19K,+0.14%
02/14/2020,78.98,79.02,79.14,78.86,1.72K,+0.43%
02/13/2020,78.64,79.3,79.3,78.61,0.15K,-0.66%
02/12/2020,79.16,79.32,79.32,79.25,0.02K,-0.48%
02/11/2020,79.54,79.64,79.64,79.56,0.77K,-0.24%
02/10/2020,79.73,80.0,80.0,79.53,1.16K,-0.04%
02/07/2020,79.76,79.61,79.64,79.51,3.22K,+0.40%
02/06/2020,79.44,78.98,79.36,78.98,0.08K,+0.34%
02/05/2020,79.17,79.29,79.31,78.72,0.64K,+0.11%
02/04/2020,79.08,79.84,79.84,79.09,0.33K,-0.44%
02/03/2020,79.43,78.83,79.55,78.73,2.69K,+1.26%
01/31/2020,78.44,78.65,78.72,78.41,21.45K,-0.22%
01/30/2020,78.61,79.34,79.34,78.67,2.33K,-0.64%
01/29/2020,79.12,78.99,79.22,78.93,0.37K,+0.08%
01/28/2020,79.06,79.04,79.11,79.02,0.93K,+0.37%
01/27/2020,78.77,78.8,78.89,78.5,1.96K,+0.22%
01/24/2020,78.6,78.41,78.48,78.33,0.17K,+0.41%
01/23/2020,78.28,78.31,78.39,78.24,0.23K,+0.22%
01/22/2020,78.11,78.57,78.57,78.06,1.18K,-0.57%
01/21/2020,78.56,78.69,78.69,78.3,0.58K,-0.01%
01/20/2020,78.57,78.86,78.86,78.52,2.32K,+0.17%
01/17/2020,78.44,78.06,78.42,78.06,0.25K,+0.29%
01/16/2020,78.21,78.43,78.43,78.28,0.28K,-0.36%
01/15/2020,78.49,78.41,78.67,78.41,1.43K,+0.09%
01/14/2020,78.42,78.55,78.64,78.35,2.02K,-0.08%
01/13/2020,78.48,78.55,78.62,78.4,0.36K,+0.37%
01/10/2020,78.19,78.06,78.07,77.86,7.15K,+0.54%
01/09/2020,77.77,77.61,78.06,77.61,0.69K,+0.05%
01/08/2020,77.73,77.64,77.76,77.59,1.29K,0.00%
01/07/2020,77.73,77.57,77.84,77.53,0.50K,+0.30%
01/06/2020,77.5,78.29,78.29,77.65,0.83K,-0.68%
01/03/2020,78.03,78.18,78.18,78.02,0.88K,+0.58%
01/02/2020,77.58,77.05,77.72,76.94,9.20K,+0.28%
