Date,Price,Open,High,Low,Vol.,Change %
02/13/2020,261.71,261.11,262.11,261.11,2.84K,+0.38%
02/12/2020,260.72,260.73,260.73,259.94,1.83K,-0.09%
02/11/2020,260.95,260.41,261.0,260.37,2.23K,-0.04%
02/10/2020,261.05,260.13,261.05,260.01,3.28K,+0.41%
02/07/2020,259.99,259.5,260.06,259.41,1.61K,+0.50%
02/06/2020,258.69,258.33,258.9,257.93,12.18K,+0.05%
02/05/2020,258.55,258.7,258.74,258.05,2.15K,-0.21%
02/04/2020,259.09,259.55,259.55,258.72,1.30K,-0.33%
02/03/2020,259.95,259.95,261.99,259.29,3.78K,0.00%
01/31/2020,259.95,259.46,259.99,259.44,33.13K,-0.08%
01/30/2020,260.16,260.0,260.23,259.65,3.74K,+0.13%
01/29/2020,259.81,259.65,259.81,259.27,3.69K,+0.25%
01/28/2020,259.16,259.63,260.1,258.87,2.91K,-0.18%
01/27/2020,259.62,258.71,259.65,258.71,9.59K,+0.69%
01/24/2020,257.85,257.11,257.93,256.73,0.67K,+0.16%
01/23/2020,257.44,256.27,257.51,255.83,1.10K,+0.91%
01/22/2020,255.12,255.0,255.81,254.89,1.72K,+0.09%
01/21/2020,254.89,254.76,255.11,254.13,1.21K,+0.16%
01/20/2020,254.49,254.53,254.72,254.17,1.09K,-0.02%
01/17/2020,254.53,254.17,254.53,253.89,1.86K,+0.26%
01/16/2020,253.87,253.99,253.99,253.59,0.47K,+0.06%
01/15/2020,253.71,254.26,254.26,253.72,3.45K,-0.05%
01/14/2020,253.83,253.38,253.84,253.31,0.91K,+0.18%
01/13/2020,253.37,254.18,254.18,253.08,2.15K,-0.39%
01/10/2020,254.35,253.99,254.38,253.97,2.02K,+0.12%
01/09/2020,254.05,254.22,254.22,253.55,1.44K,-0.30%
01/08/2020,254.82,254.8,254.82,254.28,1.13K,+0.18%
01/07/2020,254.36,253.66,254.6,253.63,0.91K,+0.08%
01/06/2020,254.16,254.42,254.42,254.4,0.05K,-0.38%
01/03/2020,255.12,254.73,255.62,254.41,3.72K,+0.73%
01/02/2020,253.28,252.28,253.55,252.02,0.47K,+0.29%
