Date,Price,Open,High,Low,Vol.,Change %
04/02/2020,151.9,151.2,152.5,150.7,9.19M,+1.64%
04/01/2020,149.45,148.2,150.08,147.85,11.83M,+0.95%
03/31/2020,148.05,151.36,151.8,147.97,13.32M,-3.18%
03/30/2020,152.92,152.41,153.08,151.57,12.08M,+0.44%
03/27/2020,152.25,153.0,153.55,152.0,9.82M,-0.65%
03/26/2020,153.24,153.31,154.81,152.08,12.78M,+1.28%
03/25/2020,151.3,152.58,152.88,151.01,16.46M,-1.37%
03/24/2020,153.4,153.5,155.66,152.05,20.74M,+4.85%
03/23/2020,146.3,142.68,146.93,142.28,28.28M,+4.42%
03/20/2020,140.11,140.71,141.17,139.14,20.06M,+1.50%
03/19/2020,138.04,139.08,140.5,137.85,20.83M,-1.89%
03/18/2020,140.7,141.75,142.88,138.5,21.95M,-1.99%
03/17/2020,143.56,140.18,146.2,139.93,24.49M,+1.36%
03/16/2020,141.64,137.56,142.96,136.12,24.50M,-1.14%
03/13/2020,143.28,149.42,149.6,141.58,35.18M,-3.05%
03/12/2020,147.79,151.53,151.55,146.85,32.89M,-3.99%
03/11/2020,153.93,156.25,156.5,153.61,18.35M,-0.36%
03/10/2020,154.48,156.18,156.41,154.39,18.81M,-2.11%
03/09/2020,157.81,158.6,159.37,156.33,24.87M,+0.17%
03/06/2020,157.55,158.33,159.25,154.54,26.97M,+0.04%
03/05/2020,157.49,156.06,157.62,155.72,17.97M,+2.16%
03/04/2020,154.16,154.4,154.96,153.7,12.32M,+0.18%
03/03/2020,153.89,150.84,155.24,150.74,28.69M,+3.14%
03/02/2020,149.2,150.0,150.73,149.04,16.30M,+0.55%
02/28/2020,148.38,152.71,152.77,147.05,42.71M,-3.65%
02/27/2020,154.0,155.58,156.27,153.9,27.88M,+0.02%
02/26/2020,153.97,153.82,155.28,152.9,17.98M,+0.44%
02/25/2020,153.3,155.12,156.08,152.91,28.09M,-1.79%
02/24/2020,156.09,158.5,158.53,155.36,27.17M,+0.90%
02/21/2020,154.7,154.43,155.22,154.18,16.35M,+1.50%
02/20/2020,152.41,152.0,152.83,151.95,8.46M,+0.41%
02/19/2020,151.79,151.0,151.82,150.81,9.27M,+0.58%
02/18/2020,150.91,149.88,151.09,149.47,11.53M,+1.28%
02/14/2020,149.0,148.74,149.13,148.63,5.35M,+0.42%
02/13/2020,148.38,148.24,148.58,147.95,7.08M,+0.57%
02/12/2020,147.54,147.42,147.81,147.16,5.04M,-0.08%
02/11/2020,147.66,148.03,148.16,147.01,5.18M,-0.34%
02/10/2020,148.17,148.21,148.45,147.91,5.79M,+0.26%
02/07/2020,147.79,147.83,148.18,147.34,6.38M,+0.26%
02/06/2020,147.4,147.28,147.63,147.0,4.82M,+0.54%
02/05/2020,146.61,146.38,146.81,146.16,6.16M,+0.12%
02/04/2020,146.43,146.97,147.03,145.8,10.53M,-1.30%
02/03/2020,148.36,148.66,148.78,147.68,9.12M,-0.65%
